176.38 | 2066.293290615082 | 17571
184.63 | 6279.595306396484 | 35897
188.79 | 10867.761205911636 | 54510
193.84 | 15378.302755355835 | 73546
194.28 | 19443.671754598618 | 92397
194.07 | 24368.77738571167 | 111105
189.85 | 27902.06531405449 | 129444
194.79 | 33726.9137942791 | 148099
188.89 | 36799.898953437805 | 166130
194.37 | 41771.13051891327 | 184699
196.24 | 47378.33379268646 | 203324
196.18 | 51115.76566338539 | 222072
194.27 | 55701.90000629425 | 240506
192.75 | 58532.32511496544 | 258696
197.15 | 63475.68830084801 | 277237
196.12 | 70690.76292133331 | 295635
198.12 | 72481.58527231216 | 314142
194.31 | 76608.9385061264 | 332300
196.21 | 80955.42800092697 | 350486
198.03 | 79423.4656636715 | 368778
189.94 | 87287.99696278572 | 386371
197.7 | 91141.99882268906 | 404713
194.29 | 92589.61022520065 | 422558
198.14 | 100011.23061990738 | 440862
196.32 | 106099.81312584877 | 458967
190.49 | 103338.16845083237 | 476314
198.01 | 118010.08447670937 | 494425
195.96 | 118130.24041366577 | 512211
196.21 | 121306.4492456913 | 530155
190.86 | 125230.37237596512 | 547713
196.21 | 125880.15267443657 | 565682
198.1 | 128971.41959905624 | 583633
200.0 | 141869.73175477982 | 601815
199.17 | 137286.41887450218 | 619929
194.34 | 146717.5450606346 | 637514
194.28 | 143080.98415589333 | 655166
196.22 | 152402.42706489563 | 672858
194.31 | 158548.8923845291 | 690355
194.14 | 161875.80493807793 | 707802
194.32 | 166075.599360466 | 725243
196.18 | 172295.60919308662 | 742775
196.21 | 178242.28766989708 | 760324
198.1 | 184389.80828499794 | 778123
200.0 | 203090.03003335 | 795848
190.31 | 185647.54738354683 | 812769
200.0 | 213369.92806696892 | 830669
195.94 | 213201.76035141945 | 848108
200.0 | 224492.42092180252 | 866079
198.0 | 214854.48651361465 | 883677
189.81 | 213181.41000843048 | 900404
167.98 | 2077.9282681941986 | 16743
186.36 | 6529.274928569794 | 35201
199.68 | 12450.870843410492 | 54851
188.69 | 16368.52532339096 | 73333
190.11 | 22047.903169631958 | 91863
190.26 | 26294.08576798439 | 110328
192.97 | 31194.405647993088 | 128931
196.14 | 37793.04437661171 | 147772
194.33 | 38882.7837202549 | 166376
190.67 | 43722.444794893265 | 184661
196.19 | 49495.18994784355 | 203459
198.09 | 54116.39860153198 | 222351
185.84 | 57800.0756008625 | 239866
199.88 | 65573.56732559204 | 258697
